"spid"	"apid"	"rowi"	"coli"	"wllt"	"wllq"	"conc"	"rval"
DMSO	"26Mar2014.Plate.6"	6	3	n	1	0.0	0.12
DMSO	"02Apr2014.Plate.26"	7	3	n	1	0.0	0.35
DMSO	"20130320.Plate.3"	2	2	n	1	0.0	0.122
DMSO	"10Jun2015.Plate.38"	6	3	n	1	0.0	0.14
DMSO	"03Sep2014.Plate.6"	6	3	n	1	0.0	1.45
DMSO	"02Apr2014.Plate.3"	7	3	n	1	0.0	0.67
DMSO	"20130320.Plate.5"	2	2	n	1	0.0	0.066
DMSO	"10Jun2015.Plate.41"	6	3	n	1	0.0	0.15
DMSO	"02Apr2014.Plate.4"	7	3	n	1	0.0	0.42
DMSO	"20130320.Plate.7"	2	3	n	1	0.0	0.156
DMSO	"09Apr2014.Plate.23"	6	3	n	1	0.0	0.45
DMSO	"20130321.Plate.8"	6	3	n	1	0.0	0.387
DMSO	"09Apr2014.Plate.27"	6	3	n	1	0.0	0.48
DMSO	"09Apr2014.Plate.30"	6	3	n	1	0.0	0.45
DMSO	"03Sep2014.Plate.19"	7	3	n	1	0.0	1.33
DMSO	"10Jun2015.Plate.10"	7	3	n	1	0.0	0.13
DMSO	"09Apr2014.Plate.34"	6	3	n	1	0.0	0.36
DMSO	"10Jun2015.Plate.6"	7	3	n	1	0.0	0.12
DMSO	"10Jun2015.Plate.15"	7	3	n	1	0.0	0.14
DMSO	"09Apr2014.Plate.7"	6	3	n	1	0.0	0.5
DMSO	"02Apr2014.Plate.9"	6	3	n	1	0.0	0.58
DMSO	"20130320.Plate.9"	6	3	n	1	0.0	0.113
DMSO	"10Jun2015.Plate.19"	7	3	n	1	0.0	0.13
DMSO	"26Mar2014.Plate.10"	6	3	n	1	0.0	0.09
DMSO	"09Apr2014.Plate.12"	6	3	n	1	0.0	0.62
DMSO	"02Apr2014.Plate.12"	6	3	n	1	0.0	0.54
DMSO	"20130320.Plate.1"	2	3	n	1	0.0	0.113
DMSO	"20130321.Plate.2"	6	3	n	1	0.0	0.373
DMSO	"10Jun2015.Plate.22"	7	3	n	1	0.0	0.14
DMSO	"03Sep2014.Plate.1"	7	3	n	1	0.0	1.39
DMSO	"26Mar2014.Plate.14"	6	3	n	1	0.0	0.09
DMSO	"09Apr2014.Plate.16"	6	3	n	1	0.0	0.59
DMSO	"02Apr2014.Plate.16"	6	3	n	1	0.0	0.63
DMSO	"20130320.Plate.11"	2	3	n	1	0.0	0.141
DMSO	"20130321.Plate.4"	6	3	n	1	0.0	0.329
DMSO	"10Jun2015.Plate.26"	7	3	n	1	0.0	0.16
DMSO	"03Sep2014.Plate.13"	7	3	n	1	0.0	1.28
DMSO	"26Mar2014.Plate.18"	7	3	n	1	0.0	0.07
DMSO	"09Apr2014.Plate.2"	6	3	n	1	0.0	0.47
DMSO	"02Apr14.Plate.2"	6	3	n	1	0.0	0.58
DMSO	"20130320.Plate.13"	2	3	n	1	0.0	0.139
DMSO	"20130321.Plate.6"	6	3	n	1	0.0	0.346
DMSO	"10Jun2015.Plate.30"	7	3	n	1	0.0	0.18
DMSO	"03Sep2014.Plate.17"	7	3	n	1	0.0	1.2
DMSO	"26Mar2014.Plate.21"	7	3	n	1	0.0	0.11
DMSO	"02Apr2014.Plate.23"	6	3	n	1	0.0	0.48
DMSO	"20130320.Plate.15"	2	3	n	1	0.0	0.109
DMSO	"10Jun2015.Plate.34"	7	3	n	1	0.0	0.13
DMSO	"03Sep2014.Plate.22"	7	3	n	1	0.0	1.25
DMSO	"26Mar2014.Plate.6"	7	3	n	1	0.0	0.09
DMSO	"02Apr2014.Plate.27"	6	3	n	1	0.0	0.66
DMSO	"20130320.Plate.3"	2	3	n	1	0.0	0.138
DMSO	"10Jun2015.Plate.38"	7	3	n	1	0.0	0.18
DMSO	"03Sep2014.Plate.6"	7	3	n	1	0.0	1.55
DMSO	"02Apr2014.Plate.30"	6	3	n	1	0.0	0.59
DMSO	"20130320.Plate.5"	2	3	n	1	0.0	0.086
DMSO	"10Jun2015.Plate.41"	7	3	n	1	0.0	0.21
DMSO	"02Apr2014.Plate.5"	6	3	n	1	0.0	0.6
DMSO	"20130320.Plate.7"	6	3	n	1	0.0	0.1
DMSO	"09Apr2014.Plate.23"	7	3	n	1	0.0	0.54
DMSO	"20130321.Plate.8"	7	3	n	1	0.0	0.356
DMSO	"09Apr2014.Plate.27"	7	3	n	1	0.0	0.45
DMSO	"09Apr2014.Plate.30"	7	3	n	1	0.0	0.47
